Team,Played,Goal Difference,Points,League Point
Ajax,14,27,30,59.9
Atlético,15,9,27,92.998
Barcelona,15,28,38,92.998
Bayern,15,36,34,82.481
Benfica,14,27,37,56.216
Celtic,19,46,54,36.4
Chelsea,16,2,25,109.57
Club Brugge,18,14,34,42.2
Copenhagen,17,8,27,27.825
Dinamo Zagreb,16,31,41,25.4
Dortmund,15,4,25,82.481
Frankfurt,15,8,27,82.481
Inter,15,12,30,81.926
Juventus,15,17,31,81.926
Leipzig,15,9,28,82.481
Leverkusen,15,-1,18,82.481
Liverpool,16,14,28,109.57
M. Haifa,12,15,27,25
Man City,16,28,36,109.57
Marseille,16,18,33,61.164
Milan,15,14,33,81.926
Napoli,15,25,41,81.926
Paris,17,33,44,61.164
Plzen,16,24,39,29.05
Porto,14,26,32,56.216
Rangers,19,26,45,36.4
Real Madrid,15,21,38,92.998
Salzburg,16,24,39,34
Sevilla,15,-9,12,92.998
Shakhtar Donetsk,13,18,30,29.5
Sporting CP,14,14,28,56.216
Tottenham,17,8,30,109.57
